time flowsize fct basefct slowdown basertt flowstart priority incast 
10.0001 7984.19 130388 86387.4 1.50934 80 12.572 1 0
10.0014 61283.2 173091 129027 1.34151 80 1242.72 1 0
10.0015 2419.95 140329 81936 1.71267 80 1357.87 1 0
10.0019 6277.59 129030 85022.1 1.51761 80 1792.31 1 0
10.0031 1.81987e+06 1.66133e+06 1.5359e+06 1.08167 80 1421.98 1 0
10.0031 45515.9 196677 116413 1.68948 80 2928.67 1 0
10.0033 580220 668920 544176 1.22923 80 2582.12 1 0
10.0041 25918.2 144788 100735 1.43732 80 3956.41 1 0
10.0042 58885.4 418809 127108 3.2949 80 3751.87 1 1
10.0043 69609.2 263571 135687 1.94249 80 3992.07 1 0
10.0043 75148.3 215146 140119 1.53546 80 4074.77 1 0
10.0045 58885.4 747273 127108 5.87903 80 3751.87 1 1
10.0045 58885.4 747525 127108 5.88101 80 3751.87 1 1
10.0045 58885.4 747777 127108 5.88299 80 3751.87 1 1
10.0045 58885.4 748029 127108 5.88497 80 3751.87 1 1
10.0047 58885.4 982837 127108 7.73228 80 3751.87 1 1
10.0047 58885.4 983089 127108 7.73426 80 3751.87 1 1
10.0047 58885.4 983341 127108 7.73625 80 3751.87 1 1
10.0048 752150 784428 681720 1.15066 80 3996.1 1 0
10.005 7036.78 129663 85629.4 1.51423 80 4835.59 1 0
10.0051 58885.4 1.35772e+06 127108 10.6816 80 3751.87 1 1
10.0051 58885.4 1.35915e+06 127108 10.6928 80 3751.87 1 1
10.0051 58885.4 1.3594e+06 127108 10.6948 80 3751.87 1 1
10.0051 58885.4 1.35965e+06 127108 10.6968 80 3751.87 1 1
10.0051 58885.4 1.36225e+06 127108 10.7172 80 3751.87 1 1
10.0051 58885.4 1.3625e+06 127108 10.7192 80 3751.87 1 1
10.0051 58885.4 1.36392e+06 127108 10.7304 80 3751.87 1 1
10.0051 58885.4 1.36418e+06 127108 10.7324 80 3751.87 1 1
10.0051 58885.4 1.36443e+06 127108 10.7344 80 3751.87 1 1
10.0051 58885.4 1.36585e+06 127108 10.7456 80 3751.87 1 1
10.0051 17690.5 138177 94152.4 1.46759 80 4994.27 1 0
10.0052 58885.4 1.45986e+06 127108 11.4852 80 3751.87 1 1
10.0052 58885.4 1.46012e+06 127108 11.4872 80 3751.87 1 1
10.0052 58885.4 1.46154e+06 127108 11.4984 80 3751.87 1 1
10.0052 58885.4 1.46179e+06 127108 11.5004 80 3751.87 1 1
10.0052 58885.4 1.46204e+06 127108 11.5024 80 3751.87 1 1
10.0052 58885.4 1.4623e+06 127108 11.5043 80 3751.87 1 1
10.0052 2.11644e+06 2.4096e+06 1.77315e+06 1.35894 80 2840.26 1 0
10.0053 58885.4 1.50357e+06 127108 11.829 80 3751.87 1 1
10.0053 58885.4 1.50382e+06 127108 11.831 80 3751.87 1 1
10.0053 58885.4 1.50407e+06 127108 11.833 80 3751.87 1 1
10.0053 58885.4 1.50432e+06 127108 11.835 80 3751.87 1 1
10.0053 58885.4 1.50458e+06 127108 11.837 80 3751.87 1 1
10.0053 58885.4 1.50483e+06 127108 11.839 80 3751.87 1 1
10.0053 58885.4 1.50508e+06 127108 11.8409 80 3751.87 1 1
10.0053 50395.2 558293 120316 4.64022 80 4779.61 1 0
10.0054 2208.71 369781 81767 4.52238 80 4981.63 1 0
10.0057 46856.5 193879 117485 1.65024 80 5471.54 1 0
10.0058 477822 805270 462257 1.74204 80 4993.53 1 0
10.006 50759.1 164620 120607 1.36493 80 5801.62 1 0
10.006 58885.4 777441 127108 6.11637 80 5262.49 1 1
10.006 58885.4 777693 127108 6.11835 80 5262.49 1 1
10.0062 58885.4 913897 127108 7.18991 80 5262.49 1 1
10.0062 58885.4 914149 127108 7.19189 80 5262.49 1 1
10.0062 2171.07 134818 81736.9 1.64942 80 6085.49 1 0
10.0063 26589.5 517903 101272 5.114 80 5829.1 1 0
10.0064 58885.4 1.09851e+06 127108 8.64231 80 5262.49 1 1
10.0064 58885.4 1.09876e+06 127108 8.64429 80 5262.49 1 1
10.0064 58885.4 1.09901e+06 127108 8.64627 80 5262.49 1 1
10.0064 58885.4 1.10044e+06 127108 8.65748 80 5262.49 1 1
10.0064 501664 629872 481331 1.3086 80 5809.97 1 0
10.0066 58885.4 1.32944e+06 127108 10.4591 80 5262.49 1 1
10.0066 58885.4 1.32969e+06 127108 10.4611 80 5262.49 1 1
10.0066 58885.4 1.33111e+06 127108 10.4723 80 5262.49 1 1
10.0066 58885.4 1.33136e+06 127108 10.4743 80 5262.49 1 1
10.0066 58885.4 1.33518e+06 127108 10.5043 80 5262.49 1 1
10.0066 58885.4 1.33544e+06 127108 10.5063 80 5262.49 1 1
10.0066 58885.4 1.33686e+06 127108 10.5175 80 5262.49 1 1
10.0066 58885.4 1.33711e+06 127108 10.5195 80 5262.49 1 1
10.0067 58885.4 1.47102e+06 127108 11.573 80 5262.49 1 1
10.0067 6054.85 132133 84843.9 1.55737 80 6601.6 1 0
10.0067 58885.4 1.47128e+06 127108 11.575 80 5262.49 1 1
10.0067 58885.4 1.47387e+06 127108 11.5954 80 5262.49 1 1
10.0067 58885.4 1.47412e+06 127108 11.5974 80 5262.49 1 1
10.0067 58885.4 1.47438e+06 127108 11.5994 80 5262.49 1 1
10.0067 58885.4 1.47932e+06 127108 11.6382 80 5262.49 1 1
10.0067 58885.4 1.47957e+06 127108 11.6402 80 5262.49 1 1
10.0067 58885.4 1.47982e+06 127108 11.6422 80 5262.49 1 1
10.0067 58885.4 1.48124e+06 127108 11.6534 80 5262.49 1 1
10.0067 58885.4 1.4815e+06 127108 11.6554 80 5262.49 1 1
10.0068 58885.4 1.50402e+06 127108 11.8326 80 5262.49 1 1
10.0068 58885.4 1.50427e+06 127108 11.8345 80 5262.49 1 1
10.0068 58885.4 1.50452e+06 127108 11.8365 80 5262.49 1 1
10.0068 58885.4 1.50477e+06 127108 11.8385 80 5262.49 1 1
10.0068 58885.4 1.50502e+06 127108 11.8405 80 5262.49 1 1
10.0069 477493 585291 461995 1.26688 80 6267.08 1 0
10.0071 7238.6 149549 85790.9 1.74318 80 6959.32 1 0
10.0073 2184.66 125743 81747.7 1.53818 80 7215.22 1 0
10.0075 46730 317775 117384 2.70714 80 7218.57 1 0
10.0076 1.19636e+06 1.4254e+06 1.03709e+06 1.37443 80 6128.88 1 0
10.0079 3.84621e+06 3.79274e+06 3.15697e+06 1.20139 80 4062.46 1 0
10.0084 3763.69 127003 83011 1.52995 80 8317.94 1 0
10.0085 1.25602e+06 1.28041e+06 1.08482e+06 1.1803 80 7209.17 1 0
10.0091 1.94321e+06 1.83233e+06 1.63457e+06 1.12098 80 7257.44 1 0
10.0093 25579.4 661490 100464 6.58438 80 8604.73 1 0
10.0093 13645.7 145286 90916.6 1.59801 80 9189.06 1 0
10.0096 40929.4 187574 112744 1.66372 80 9437.83 1 0
10.0097 30738.9 151257 104591 1.44617 80 9504.96 1 0
10.0097 48944.8 203392 119156 1.70694 80 9529.46 1 0
10.01 2190.94 127445 81752.7 1.55891 80 9856.95 1 0
10.0104 65495.3 596297 132396 4.50388 80 9759.33 1 0
10.0104 6.6643e+06 6.98903e+06 5.41144e+06 1.29153 80 3385.53 1 0
10.0105 3420.7 127496 82736.6 1.54099 80 10360.7 1 0
10.0106 4807.31 127856 83845.9 1.52489 80 10453.6 1 0
10.0106 4505.1 132404 83604.1 1.5837 80 10483.2 1 0
10.0107 982059 1.37687e+06 865647 1.59057 80 9311.87 1 0
10.0107 23349.9 145106 98679.9 1.47047 80 10573.1 1 0
10.0108 1.9093e+06 3.69907e+06 1.60744e+06 2.30122 80 7080.92 1 0
10.0112 179437 464300 223550 2.07694 80 10745.5 1 0
10.0114 1.36338e+06 2.82202e+06 1.17071e+06 2.41052 80 8570.6 1 0
10.0114 78893 421263 143114 2.94354 80 11017.3 1 0
10.0116 2.90964e+06 2.55375e+06 2.40771e+06 1.06065 80 9086.89 1 0
10.012 128522 497528 182817 2.72145 80 11501 1 0
10.012 8.07066e+06 9.79199e+06 6.53653e+06 1.49804 80 2212.81 1 0
10.0121 3.74439e+06 8.21338e+06 3.07551e+06 2.67057 80 3934.4 1 0
10.0125 6464.77 130710 85171.8 1.53466 80 12325 1 0
10.0127 67907.8 310277 134326 2.30988 80 12416.4 1 0
10.0128 22599.1 237962 98079.3 2.42622 80 12598.2 1 0
10.0129 245936 382860 276749 1.38342 80 12537.3 1 0
10.013 48182.5 509334 118546 4.29651 80 12478.6 1 0
